title|city|country|latitude|longitude|year|date|people|people_links|event_links|description
"The life and travels of Fransisco de Miranda"|Puebla de Zaragoza|Mexico|||2023|11-3-2023|[]|[]|[]|"The following story is an account of the life of Fransisco de Miranda, his adventures, impact on history and the people he met. Fransisco de Miranda was a Venezuelan revolutionary who fought in the American war of independence, the French revolution and the Venezuelan wars of independence. I decided to make this info page after traveling through South America and learning more about their revolutionary history and discovering Fransisco de Miranda. There's a lot of information about the famous characters of the revolutions like Simón Bolívar and José de San Martín, the information about Miranda is far less accesable but he lived an extremely interesting life, therefore I decided to write this account of his life. Miranda fought tirelessly for the independence of the American colonies but was born too early, he's known in history as 'The Precursor' of Latin American independence. The whole story is written by me, the main information is sourced from the book 'Life of Miranda' by William Spence Robertson (1929) which is public domain. All accompanying maps are made by me as well with Python and GeoPandas, I've tried to recreate the historical borders as accurately as possible(but they are an aproximation). Press the right button on the portret and enjoy this amazing story about Fransisco de Miranda!"
"Born in Caracas"|Caracas|Venezuela|10.482963515158941|-66.9051394718394|1750|28-03-1750|[]|[]|[]|"Fransisco de Miranda was born on March 28th 1750 in Caracas to a father from the Canary Islands and a Venezuelan mother. Fransisco enjoyed a first class upbringing, his father being a wealhy merchant and his mother coming from a wealthy influential family. Fransisco was a gifted student, studying Latin, Grammar, History, Geography and Arithmatic. However, despite his talent and wealth, Francisco was subject to predjudice within the aristocracy of the Spanish Empire because his father was an immigrant from the Empire's territory in the Canary Islands, whereas those in power immigrated from Spain. This discrimination would later lead to conflict within the ruling circles, contributing to Marinada's decision to leave Venezuela as a young adult."
"Studies in Madrid"|Madrid|Spain| 40.417756094894436| -3.7038954303629192|1771|28-03-1771|[]|[]|[]|"At 21 years old, Miranda traveled to Madrid aspiring to improve his education. He focused on learning foreign languages while also studying history, politics, math, and his family's geneaology. Fancisco gained this knowledge with the ambition to travel through Europe and to serve as an officer in the Spanish army."
"The Siege of Melila"|Melila|Spain| 35.29237217643332| -2.938347996055904|1774|9-12-1774 |["The Siege of Melila"]|[]|[]|"After studying in Madrid for two years, Miranda bought a captaincy in the Princess Regiment of the Spanish Army. The regiment was to Melila, a Spanish enclave on the coast of Marocco. Miranda fought against the forces of the Sultan of Marocco who laid siege against Melila, Fransisco and his regiment held out and Melila is still Spanish up until today."
"Stationed in Cadiz"|Cadiz|Spain| 36.521087477232044| -6.279619626951156|1775|19-03-1775|[]|[]|[]|"Miranda received several complaints during his service in Morocco ranging from reading too much to abuse of power and embezzlement of regimental funds. He was transferred back to his station in the Spanish port of Cadiz"
"Off to war"|Havana|Cuba| 23.114440936491402| -82.36701945518091|1780|1-05-1780|[]|[]|[]|"Spain got involved in the American war of indepence to strenghten it's position in Florida and the bean. Miranda was transferred with his regiment and stationed in Havana, Cuba."
"The Siege of Pensacola"|Pensacola|United States of America| 30.482806791414966| -87.22408331124026|1781|09-05-1781|["Siege of Pensacola"]|[]|[]|"Fransisco took part in the siege against the british held town of Pensacola. After the two month siege, Fransisco de Miranda was promoted to lieutenant colonel."
"Prisoner Exchange"|Kingston|Jamaica|18.016373205006122| -76.80854301133755|1781|18-08-1781|[]|[]|[]|"After the siege in Florida, de Miranda was sent to the british island of Jamaica to negotiate the return of nine hundred Spanish prisoners. He succesfully neogitiated the exchange, bought additional ships, and made a deal with a local merchant Philip Allwood to transport some goods to Havana and sell them on the internal Spanish market."
"Return to Havana"|Havana|Cuba| 23.114440936491402| -82.36701945518091|1781|21-09-1781|["Bernardo de Gálvez"]|[]|[]|"Once superiors found out about this transport arrangement, Miranda was accused of smuggling and spying for the British and was prosecuted by the governor Bernardo de Gálvez. He was not yet arrested for this transgression because he had unconditional support from his superior officer Cagigal."
"The capture of the Bahamas"|Nassua|the Bahamas| 25.05392539124725| -77.35004537768445|1782|01-05-1782|["Capture of the Bahamas (1782)"]|[]|[]|"Miranda took part in the capture of the Bahamas, although the expedition was not officialy sanctioned by Galvez the Minister of the Indies . The British regiment in Nassau realized they we're outmanned and gave up without a fight."
